极致播放器专用源
发布频道：https://t.me/jizhi111
交流讨论：https://t.me/jizhi222

Js=jizhi
Js=https://raw.githubusercontent.com/j520jeffrey/txt/main/jizhi.js
TW台湾,#genre#
AXN tw2,http://?s=focus&id=64137fed000660a5a585aad4055228a8
AXN my,http://?s=focus&id=6413800100002d47a585f75e0b4d15d4
CINEMAX tw,http://?s=focus&id=641380160003b61ca5864a4e3d49763a
Cinemax my,http://?s=focus&id=6413802a000969a0a58699e441aa3320
Animax my,http://?s=focus&id=6413803e00077f23a586e786585056af
Animax tw,http://?s=focus&id=6413807500012fe3a587bcbf2e6b7388
Hits Movies my,http://?s=focus&id=6413808800072695a588087e3cc239d1
CTI Asia中天亚洲,http://?s=focus&id=64254f7e000dfed1eb1809855c5735ce
One HD,http://?s=focus&id=64124c0e00080254a0d30c2d0630425d
Astro AEC(a),http://?s=focus&id=64124c2d0006c6eba0d384f41e28720a
Astro AEC(b),http://?s=focus&id=64124c700006cf30a0d48aaf01411bf2
Astro 全佳 Quanjia,http://?s=focus&id=64124c91000ce85ba0d50d273a3f550c
Astro 欢喜 Huahee,http://?s=focus&id=64124caf0002a78fa0d57fb777596e7b
Astro双星 ShuangXing,http://?s=focus&id=64124cd6000d2114a0d61abd59b301f5
翡翠台(b),http://?s=focus&id=6410094a000234c597fe3d0e63905877
翡翠台MY,http://?s=focus&id=64100a0b000cbbda980131a946a90bc0
TVB黃金翡翠台,http://?s=focus&id=64206c63000c3a90d801201c5fe2483a
Astro AOD 351,http://?s=focus&id=6427ba150003a8b2f48864c0637f78d5
Astro AOD 352,http://?s=focus&id=6427ba33000e1d77f488dc9d368a21a6
Astro AOD 353,http://?s=focus&id=6427ba4e000e68a7f4894628702a319e
Astro AOD 354,http://?s=focus&id=6427ba6b0002c078f489b4757d803340
Astro AOD 355,http://?s=focus&id=6427ba850008c867f48a1b90472f7860
Astro 小太阳 Xiaotaiyang,http://?s=focus&id=64124cfa00001c82a0d6a40858217ea4
TVB_CLASSIC,http://?s=focus&id=6410219e0000704b985d44bd2a501d47
TVB星河粤语,http://?s=focus&id=64124d6a00062ff8a0d85b176a3f19bd
TVB星河国语,http://?s=focus&id=64124d490002f20da0d7d95b4dbe6256
TVB Classic,http://?s=focus&id=64124d230009d2bba0d746ad78416db2
TVB_E-NEWS,http://?s=focus&id=64124d81000ccc51a0d8b69f1a1a762b
TVB 粤语片台 HYTV,http://?s=focus&id=641022340009a273985f91092cb6113d
電影一台,http://?s=focus&id=6410224e00097a01985ff68e53d22e70
CCM 天映经典,http://?s=focus&id=64124d990007b0aaa0d9131033d9354a
CCM 天映经典 CN中英字幕,http://?s=focus&id=64124dd500082194a0d9fd8d736a3dff
Celestial MY 天映,http://?s=focus&id=64124df1000c3585a0da6bf812014c1a
Celestial MY 天映2,http://?s=focus&id=64124e0f00045619a0dadf2552b73bf8
Celestial cn 天映2,http://?s=focus&id=64124e2b000b454ba0db4e4b137c6137
SETI 三立国际,http://?s=focus&id=64124e4200057913a0dba6a76ebf248c
Hits Movies,http://?s=focus&id=6413852a000f0a74a59a235e4e1c318d
Comedy Central ,http://?s=focus&id=6413853b000926c2a59a644430b12c08
Kix HD,http://?s=focus&id=6413854d000785b1a59aaa2924fa1aa7
Rugby Pass TV,http://?s=focus&id=641385640003a0f9a59b02f333796f30
Sun TV MY,http://?s=focus&id=64138578000a0b4da59b52b76a9552c0
Sun TVTataSky,http://?s=focus&id=6413858800046ac8a59b8fc622de0dc9
Sun TV Tamil,http://?s=focus&id=641385a2000d8ae7a59bf7ad23443b39
Star Vijay,http://?s=focus&id=641385b300076a44a59c388327276d0a
STAR VIJAY india,http://?s=focus&id=64f5a3ef000bd3723990b8062810502f
BollyOne HD,http://?s=focus&id=641385e40004d28aa59cf74f015c1fc8
Astro Cricket,http://?s=focus&id=6413863000096560a59e215b32a17cc3
Astro Vaanavil,http://?s=focus&id=6413864100052c3da59e62ae01dd502f
Sun Music,http://?s=focus&id=64138655000659f1a59eb11c4bb665a7
Sony Max,http://?s=focus&id=6413866d000325caa59f0e0a0a6f3911
Set Sony,http://?s=focus&id=6413868200096c30a59f61a5378b6035
Sab Sony,http://?s=focus&id=641386c1000c2bbfa5a05872576a61bd
Zee Cinema,http://?s=focus&id=641386d30008a32fa5a09dda08bc5c0d
Zee TV,http://?s=focus&id=641386e6000bfb90a5a0e8ee501f7fd5
Astro Colors,http://?s=focus&id=641386f70003798da5a1292811a2387f
Colors HD TataSky,http://?s=focus&id=6413870b00037690a5a177473df07376
Astro Adithya,http://?s=focus&id=6413872200000fa0a5a1d03f37ed2010
Polimer news,http://?s=focus&id=641387360006b6e4a5a2201438a0209c
Raj TV,http://?s=focus&id=641387490003dee5a5a2699101f2025c
Jaya TV ,http://?s=focus&id=6413875c000e1e78a5a2b66900ee49b9
Chutti TV,http://?s=focus&id=64138770000495faa5a30218116101b2
UTV movies,http://?s=focus&id=64138783000ac99ca5a34de73976474e
Blue Ant Entertainm,http://?s=focus&id=6413809e000478cba5885dbe4d29586c
Blue Ant Extreme,http://?s=focus&id=641380b20005698fa588ac1c60782adf
CNN my,http://?s=focus&id=641380c6000d7e73a588fc4e012b3240
CNN Indonesia Indonesia,http://?s=focus&id=641380ea000891c1a58987ab53f905fa
CNBC my,http://?s=focus&id=64138101000e328aa589e2f46ee85f3d
ABC Australia my,http://?s=focus&id=6413811b0006e5f7a58a46a6057a4674
Sky News HD my,http://?s=focus&id=641381340003e883a58aa78a57c53479
Bloomberg TV my,http://?s=focus&id=6413814f000a6413a58b12ab52934c96
France 24 my,http://?s=focus&id=6413816700069158a58b6f7a03cd341c
Euro news my,http://?s=focus&id=6413817b0003393aa58bbcbf158b6409
FOX NEWS my,http://?s=focus&id=6413818e000154fca58c067b60210765
MTV LIVE my,http://?s=focus&id=641381a8000b2beaa58c6e90661462b5
NHK World my,http://?s=focus&id=641381bd00065fefa58cbf5e66b171d0
BeIN Sports,http://?s=focus&id=641381d2000619c4a58d115426907b6d
BeIN Max Sports,http://?s=focus&id=641381e300044201a58d534366ce199d
WWE Network,http://?s=focus&id=641381f6000cd704a58d9fae064d2ede
Golf Channel SKY SPORT,http://?s=focus&id=6413821c000b77b6a58e33c27f83093b
HGTV HD,http://?s=focus&id=64138230000a80f9a58e81a3428a31c6
HGTV TW,http://?s=focus&id=641382440002a30ca58ecdbf74a8039c
AFC AFN,http://?s=focus&id=641382600009923ea58f3ce6638b7516
TLC HD,http://?s=focus&id=64138278000b9ab8a58f9b2b5a106790
TLC旅遊生活,http://?s=focus&id=6413828d000cff1da58fed8f7d2719cf
Food Network,http://?s=focus&id=641382a10003769fa590393e3fb23f92
Asia Food Network,http://?s=focus&id=641382ce0009fbafa590eab223060296
E! HD,http://?s=focus&id=641382e1000e0ae1a59135f449455b3d
DMAX HD,http://?s=focus&id=6413830e000184eea591e2872b6d66d2
Travel Channel,http://?s=focus&id=6413832400050785a592395d1e6e5cd2
Travel ,http://?s=focus&id=6413833b0002906da592929427bc2047
CI 罪案偵查頻道,http://?s=focus&id=6413834e0001dcdfa592dc9e70500376
Animal Planet,http://?s=focus&id=64138361000ebac2a5932a2128c72b2e
NatGeo,http://?s=focus&id=6413837500016343a59374d77edf394b
NatGeo Wild HD,http://?s=focus&id=6413838c000428cca593cf656569021f
HISTORY2,http://?s=focus&id=641383a2000b3d73a59427257bb61a15
Discovery Science,http://?s=focus&id=641383bd000eddc3a594917b13206375
Discovery Science TW,http://?s=focus&id=641383d0000ded44a594db7641050686
Discovery Asia TW,http://?s=focus&id=641383e2000df6c4a59521c82bec6fdc
Discovery Channel,http://?s=focus&id=641383f300048101a59561c464b07293
BBC News HD,http://?s=focus&id=641384e7000133cda5991a1b33cb3ea0
DW HD,http://?s=focus&id=641384f6000cbd09a59957a77daa41a1
Love Nature ,http://?s=focus&id=64138508000471b7a5999bd702f428aa
Disney Channel,http://?s=focus&id=6413851900016945a599dd79676c38
Malaysia,#genre#
TV1,http://?s=focus&id=64124205000b04f4a0abd9c7062c099b
TV1(b),http://d25tgymtnqzu8s.cloudfront.net/smil:tv1/chunklist_b4596000_slENG.m3u8?s=focus&id=1
TV1(c),http://?s=focus&id=6412422400098c9ba0ac527f0ec009c8
TV2,http://?s=focus&id=6412424b000041f7a0ace87766f376ab
TV2(b),http://d25tgymtnqzu8s.cloudfront.net/smil:tv2/chunklist_b4596000_slENG.m3u8?s=focus&id=1
TV3(a),http://?s=focus&id=641242a400062e34a0ae45a35f531cbf
TV3(b),http://?s=focus&id=641242ff00087be4a0afa9b27b0b7e08
TV3(c),http://live-sg1.global.ssl.fastly.net/live-hls/tonton1_720p/index.m3u8
TV6. ,http://?s=focus&id=64124329000acacea0b04e5a30ab3117
NTV7,http://?s=focus&id=6412434900057d36a0b0c9ff4e7f678e
NTV7(b),http://?s=focus&id=641243610000618fa0b12670759974c0
8TV,http://?s=focus&id=64124384000000eda0b1af0f24c07c86
8TV(b),http://?s=focus&id=641243a500087b78a0b2322326f61656
TV9,http://?s=focus&id=641243d50008438ca0b2ed950e2e1cac
TV9(b),http://?s=focus&id=641243f1000a330da0b35b744b835759
Makkah,http://?s=focus&id=6412440b0006f26ba0b3c02f44e15340
Madinah,http://?s=focus&id=64124447000b5195a0b4aba62ea76703
Drama Sangat,http://?s=focus&id=6412449c000257b9a0b5f5624d0621a2
TVS,http://?s=focus&id=641244ba000752eea0b66bd9202b299b
Awesome TV,http://?s=focus&id=641244e9000576b1a0b722f7232a5c8b
Bola Arena1,http://?s=focus&id=641245040004d52aa0b78c446be55863
Bola Arena2,http://?s=focus&id=64124524000e86a3a0b80bbf421014d4
Astro Arena 1,http://?s=focus&id=6412454a0000fbb4a0b89cb81723411e
Astro Arena 1(b),http://?s=focus&id=64124580000df2d5a0b972fa5e5d3940
Astro Arena 2,http://?s=focus&id=64124568000c643aa0b914d41041515b
ASSP1(a),http://?s=focus&id=6412459f000acfeba0b9eb4448574dee
ASSP1(b),http://?s=focus&id=641245bc0008335da0ba5be15de04db6
ASSP2(a),http://?s=focus&id=641245e30005d242a0baf39e4a3f4a03
ASSP2(b),http://?s=focus&id=641245fd000a6c90a0bb5a5b3f082922
ASSP3(a),http://?s=focus&id=6412462100081e2fa0bbe66467ee6505
ASSP3(b),http://?s=focus&id=6412463b00023f3ca0bc4a7430ab0660
ASSP4(a),http://?s=focus&id=64124658000ad2c0a0bcbdee020d5132
ASSP4(b),http://?s=focus&id=641246e00009e30fa0bed0f161d56da7
ASSP5(a),http://?s=focus&id=641246fc0003baafa0bf3cbe4c8736d8
ASSP5(b),http://?s=focus&id=6412471a00065484a0bfb29809e370b5
Spotv,http://?s=focus&id=6481dc3c00077243549b8cd35b4f0f7f
Okey,http://?s=focus&id=641247390008ab2ba0c02c4a1e6d7c4a
Astro Ria(a),http://?s=focus&id=6412475a0001e9b4a0c0ab7757361ac3
Astro Ria(b),http://?s=focus&id=641248070002b154a0c34f73189527bb
Astro Ria(d),http://?s=focus&id=64124824000a5118a0c3c2af05400294
Astro Prima (a),http://?s=focus&id=6412483f000d7787a0c42cf514d31874
Astro Prima (b),http://?s=focus&id=641248560003257fa0c484296e73655f
Astro Warna(a),http://?s=focus&id=6412486f000d3f9ca0c4e86722ba3298
Astro Warna(b),http://?s=focus&id=6412488e00083532a0c5603560d334fe
Astro Warna(c),http://?s=focus&id=641248a6000225cba0c5bc684ca70c67
Astro Oasis,http://?s=focus&id=641248c4000c9a91a0c63446638407ba
Astro Sensasi,http://?s=focus&id=641248e100089063a0c6a4857a9e76f5
Astro Aura,http://?s=focus&id=6412490000029239a0c71c1415de4f23
Astro Rania,http://?s=focus&id=64124a04000b9fa4a0cb160c3ad51b32
Astro Awani,http://?s=focus&id=64124a1c000d2e3fa0cb743224ba1e56
Astro Awani(b),http://?s=focus&id=64124a3a00017fd2a0cbe6651aba048c
BOO,http://?s=focus&id=64137e860008ec16a58031233a436c8e
Astro Ceria(a),http://?s=focus&id=64124a76000afc5da0ccd33328db54d4
Astro Citra,http://?s=focus&id=64124a950004c142a0cd4ab321ff3eaa
Astro Tutor UPSR,http://?s=focus&id=64124ab1000a05e4a0cdb96c45713a25
Astro Tutor SPM,http://?s=focus&id=64124ad20003446da0ce389969675397
Aljazeera,http://?s=focus&id=64124aec000d584ca0cea0be08dc17b5
Bernama News,http://?s=focus&id=64124b0c000298f3a0cf1afc535930fa
TV-AlHijrah,http://?s=focus&id=64124b2900044546a0cf8cb162560917
TVN Movies,http://?s=focus&id=64124b780007d1a1a0d0c23228543327
TVN Sin,http://?s=focus&id=64124bb50008793da0d1b0a6677f4152
KBS World,http://?s=focus&id=64124bf3000b021aa0d2a37c477150fb
One HD,http://?s=focus&id=64124c0e00080254a0d30c2d0630425d
Astro AEC(a),http://?s=focus&id=64124c2d0006c6eba0d384f41e28720a
Astro AEC(b),http://?s=focus&id=64124c700006cf30a0d48aaf01411bf2
Astro 全佳 Quanjia,http://?s=focus&id=64124c91000ce85ba0d50d273a3f550c
Astro 欢喜 Huahee,http://?s=focus&id=64124caf0002a78fa0d57fb777596e7b
Astro双星 ShuangXing,http://?s=focus&id=64124cd6000d2114a0d61abd59b301f5
iQIYI,http://?s=focus&id=649672870005e0a5a5062d0e1384610b
翡翠台(b),http://?s=focus&id=6410094a000234c597fe3d0e63905877
翡翠台MY,http://?s=focus&id=64100a0b000cbbda980131a946a90bc0
TVB黃金翡翠台,http://?s=focus&id=64206c63000c3a90d801201c5fe2483a
Astro AOD 351,http://?s=focus&id=6427ba150003a8b2f48864c0637f78d5
Astro AOD 352,http://?s=focus&id=6427ba33000e1d77f488dc9d368a21a6
Astro AOD 353,http://?s=focus&id=6427ba4e000e68a7f4894628702a319e
Astro AOD 354,http://?s=focus&id=6427ba6b0002c078f489b4757d803340
Astro AOD 355,http://?s=focus&id=6427ba850008c867f48a1b90472f7860
Astro 小太阳 Xiaotaiyang,http://?s=focus&id=64124cfa00001c82a0d6a40858217ea4
TVB_CLASSIC,http://?s=focus&id=6410219e0000704b985d44bd2a501d47
TVB星河粤语,http://?s=focus&id=64124d6a00062ff8a0d85b176a3f19bd
TVB星河国语,http://?s=focus&id=64124d490002f20da0d7d95b4dbe6256
TVB Classic,http://?s=focus&id=64124d230009d2bba0d746ad78416db2
TVB_E-NEWS,http://?s=focus&id=64124d81000ccc51a0d8b69f1a1a762b
TVB 粤语片台 HYTV,http://?s=focus&id=641022340009a273985f91092cb6113d
電影一台,http://?s=focus&id=6410224e00097a01985ff68e53d22e70
CCM 天映经典,http://?s=focus&id=64124d990007b0aaa0d9131033d9354a
CCM 天映经典 CN中英字幕,http://?s=focus&id=64124dd500082194a0d9fd8d736a3dff
Celestial MY 天映,http://?s=focus&id=64124df1000c3585a0da6bf812014c1a
Celestial MY 天映2,http://?s=focus&id=64124e0f00045619a0dadf2552b73bf8
Celestial cn 天映2,http://?s=focus&id=64124e2b000b454ba0db4e4b137c6137
SETI 三立国际,http://?s=focus&id=64124e4200057913a0dba6a76ebf248c
Hits Movies,http://?s=focus&id=6413852a000f0a74a59a235e4e1c318d
Comedy Central ,http://?s=focus&id=6413853b000926c2a59a644430b12c08
Kix HD,http://?s=focus&id=6413854d000785b1a59aaa2924fa1aa7
Rugby Pass TV,http://?s=focus&id=641385640003a0f9a59b02f333796f30
Sun TV MY,http://?s=focus&id=64138578000a0b4da59b52b76a9552c0
Sun TVTataSky,http://?s=focus&id=6413858800046ac8a59b8fc622de0dc9
Sun TV Tamil,http://?s=focus&id=641385a2000d8ae7a59bf7ad23443b39
Star Vijay,http://?s=focus&id=641385b300076a44a59c388327276d0a
STAR VIJAY india,http://?s=focus&id=64f5a3ef000bd3723990b8062810502f
BollyOne HD,http://?s=focus&id=641385e40004d28aa59cf74f015c1fc8
Astro Cricket,http://?s=focus&id=6413863000096560a59e215b32a17cc3
Astro Vaanavil,http://?s=focus&id=6413864100052c3da59e62ae01dd502f
Sun Music,http://?s=focus&id=64138655000659f1a59eb11c4bb665a7
Sony Max,http://?s=focus&id=6413866d000325caa59f0e0a0a6f3911
Set Sony,http://?s=focus&id=6413868200096c30a59f61a5378b6035
Sab Sony,http://?s=focus&id=641386c1000c2bbfa5a05872576a61bd
Zee Cinema,http://?s=focus&id=641386d30008a32fa5a09dda08bc5c0d
Zee TV,http://?s=focus&id=641386e6000bfb90a5a0e8ee501f7fd5
Astro Colors,http://?s=focus&id=641386f70003798da5a1292811a2387f
Colors HD TataSky,http://?s=focus&id=6413870b00037690a5a177473df07376
Astro Adithya,http://?s=focus&id=6413872200000fa0a5a1d03f37ed2010
Polimer news,http://?s=focus&id=641387360006b6e4a5a2201438a0209c
Raj TV,http://?s=focus&id=641387490003dee5a5a2699101f2025c
Jaya TV ,http://?s=focus&id=6413875c000e1e78a5a2b66900ee49b9
Chutti TV,http://?s=focus&id=64138770000495faa5a30218116101b2
UTV movies,http://?s=focus&id=64138783000ac99ca5a34de73976474e
HBO HD my,http://?s=focus&id=64137ee50006d7eca581a3b3297e60a3
HBO tw,http://?s=focus&id=64137f0b0006a17fa58238155813216c
HBO Family my,http://?s=focus&id=64137f29000ae5e4a582ae5d42d65d7a
HBO家庭,http://?s=focus&id=64137f3c000d4a86a582f93235111bc5
HBO Signature my,http://?s=focus&id=64137f530000971da5834fca2631479a
HBO强档,http://?s=focus&id=64137f700008f329a583c3344ddf5dfc
HBO Hits my,http://?s=focus&id=64137f85000a578fa58415985b5b1f5d
HBO原创,http://?s=focus&id=64137f970005246ea5845a9326ce6233
Thrill,http://?s=focus&id=644a0879000272f67a89b6687af342ae
AXN tw,http://?s=focus&id=64137fb6000e2555a584d5f94945113b
AXN tw2,http://?s=focus&id=64137fed000660a5a585aad4055228a8
AXN my,http://?s=focus&id=6413800100002d47a585f75e0b4d15d4
CINEMAX tw,http://?s=focus&id=641380160003b61ca5864a4e3d49763a
Cinemax my,http://?s=focus&id=6413802a000969a0a58699e441aa3320
Animax my,http://?s=focus&id=6413803e00077f23a586e786585056af
